cpu_name,passmark_score,passmark_rank,passmark_value
AMD EPYC 9634,107944,10,27.33
AMD EPYC 9654,117179,5,24.94
AMD EPYC 9654P,113949,7,20.91
AMD EPYC 9684X,120760,4,15.12
AMD EPYC 9754,100460,12,13.48
AMD EPYC 9R14,116475,6,
AMD EPYC Embedded 7292P,30542,311,
AMD FirePro A320 APU,2153,2892,
AMD FX-4100 Quad-Core,2610,2620,137.46
AMD FX-4130 Quad-Core,2686,2583,51.64
AMD FX-4150 Quad-Core,3327,2306,
AMD FX-4170 Quad-Core,3034,2431,132.21
AMD FX-4200 Quad-Core,3119,2394,52.03
AMD FX-4300 Quad-Core,2986,2454,186.88
AMD FX-4320,3150,2384,
AMD FX-4330,3098,2406,4.22
AMD FX-4350 Quad-Core,3313,2317,36.01
AMD FX-6100 Six-Core,3684,2185,83.65
AMD FX-6120 Six-Core,3887,2120,67.0
AMD FX-6130 Six-Core,4353,2006,
AMD FX-6200 Six-Core,4097,2068,14.63
AMD FX-6300 Six-Core,4210,2038,177.11
AMD FX-6330 Six-Core,4433,1980,
AMD FX-6350 Six-Core,4548,1953,81.68
AMD FX-670K Quad-Core,2980,2458,
AMD FX-7500 APU,1977,2991,
AMD FX-7600P,2582,2634,
AMD FX-7600P APU,2856,2515,
AMD FX-770K Quad-Core,2978,2460,
AMD FX-8100 Eight-Core,4046,2083,41.28
AMD FX-8120 Eight-Core,4640,1937,59.47
AMD FX-8140 Eight-Core,4860,1902,32.65
AMD FX-8150 Eight-Core,5250,1834,64.01
AMD FX-8300 Eight-Core,5318,1818,127.17
AMD FX-8310 Eight-Core,5149,1854,31.39
AMD FX-8320 Eight-Core,5444,1793,108.91
AMD FX-8320E Eight-Core,5090,1866,56.56
AMD FX-8350 Eight-Core,6064,1671,67.38
AMD FX-8370 Eight-Core,6171,1645,36.35
AMD FX-8370E Eight-Core,5306,1822,211.05
AMD FX-870K Quad Core,3227,2352,
AMD FX-8800P,2851,2518,
AMD FX-9370 Eight-Core,6190,1640,36.41
AMD FX-9590 Eight-Core,6789,1530,22.78
AMD FX-9800P,2543,2656,
AMD FX-9830P,3322,2310,
AMD FX-B4150 Quad-Core,3369,2289,37.57
AMD G-T40E,289,4580,
AMD G-T40N,299,4563,
AMD G-T40R,120,4823,
AMD G-T44R,120,4822,
AMD G-T48E,427,4393,
AMD G-T52R,177,4749,
AMD G-T56E,442,4380,
AMD G-T56N,484,4347,
AMD Geode NX 2400+,400,4436,
AMD GX-210JA SOC,248,4636,
AMD GX-212JC SOC,646,4163,
AMD GX-217GA SOC,794,3979,
AMD GX-218GL SOC,754,4031,
AMD GX-222GC SOC,1044,3710,
AMD GX-412HC,1095,3652,
AMD GX-412TC SOC,650,4159,
AMD GX-415GA SOC,1414,3380,
AMD GX-416RA SOC,1604,3233,
AMD GX-420CA SOC,1780,3129,
AMD GX-420MC SOC,1796,3116,
AMD GX-424CC SOC,1796,3118,
AMD Opteron 1212,593,4218,2.04
AMD Opteron 1212 HE,771,4007,
AMD Opteron 1214,696,4094,7.72
AMD Opteron 1214 HE,806,3966,
